experiment,folder,choice_set,alternative,R,O,Y,G,B,P,UV,intensity,no_choice,max_count
2,F0F0F0F0F0F0T49F0F0T6T8T13T2T6T20F0,139,3_none,0,0,0,0,0,0,0,0,1,77
2,F0F0F0F0F0F0T49F0T6T18T9F0F0T3T20F0,126,1_left,0,0,0,0,0,0,1,0.02,0,5
2,F0F0F0F0F0F0T49F0T6T18T9F0F0T3T20F0,126,2_right,0.14,0.27,0.13,0,0,0.06,0.39,0.01,0,6
2,F0F0F0F0F0F0T49F0T6T18T9F0F0T3T20F0,126,3_none,0,0,0,0,0,0,0,0,1,69
2,F0F0F0F0F0F0T56F0T7T1T14T7T6T6T36F0,170,1_left,0,0,0,0,0,0,1,0.34,0,5
2,F0F0F0F0F0F0T56F0T7T1T14T7T6T6T36F0,170,2_right,0.12,0.01,0.14,0.11,0.08,0.08,0.47,1,0,4
2,F0F0F0F0F0F0T56F0T7T1T14T7T6T6T36F0,170,3_none,0,0,0,0,0,0,0,0,1,71
2,F0F0F0F0F0F0T61F0F0T14T10T4T13T8T28F0,121,1_left,0,0,0,0,0,0,1,0.54,0,4
2,F0F0F0F0F0F0T61F0F0T14T10T4T13T8T28F0,121,2_right,0,0.15,0.1,0.06,0.19,0.11,0.38,0.89,0,3
2,F0F0F0F0F0F0T61F0F0T14T10T4T13T8T28F0,121,3_none,0,0,0,0,0,0,0,0,1,73
2,F0F0F0F0F0T1T61F0T8T8F0T7T11F0T28F0,177,1_left,0,0,0,0,0,0.01,0.99,0.57,0,11
